Station_Code,X,Y,Z,sX,sY,sZ
FLRS,4221530.0760377,-2549242.31141726,4031398.29236487,0.00057859,0.00059252,0.00053175
FORT,4985386.59942542,-3954998.63525385,-428426.315031124,0.00086065,0.0007708,0.00061663
FUNC,5143339.26462998,-1563412.67470215,3421191.64320368,0.00061068,0.00058858,0.00053429
GANP,3929181.43121207,1455236.81191705,4793653.94520065,0.00058283,0.00057818,0.00054444
GLPS,-33801.4059313738,-6377516.51925363,-82154.3347416688,0.00058094,0.00069854,0.00055889
GLSV,3512888.85506117,2068979.95246549,4888903.23807511,0.00057886,0.00058297,0.00054596
GMAS,5439112.54407568,-1522134.88606058,2953556.24359838,0.00061775,0.0005894,0.00053395
GODE,1130773.66989535,-4831253.57193398,3994200.43492932,0.00054463,0.00062871,0.00051706
GODZ,1130773.67023002,-4831253.5731828,3994200.43493019,0.00054488,0.00063014,0.00051832
GOL2,-2353614.39331078,-4641385.30464867,3676976.39234675,0.00060664,0.0006028,0.00050524
GOLD,-2353614.39315583,-4641385.3037587,3676976.39225414,0.00060476,0.00059736,0.00050135
GOUG,4795578.7422639,-835299.290291437,-4107633.87865227,0.00074905,0.00053743,0.00084642
GRAS,4581690.8306208,556114.930074934,4389360.851129,0.00059334,0.00057763,0.00053833
GRAZ,4194423.72597372,1162702.77867872,4647245.45829713,0.00058835,0.0005783,0.00054354
GUAM,-5071312.71733,3568363.58098346,1488904.36108281,0.000736,0.00060129,0.00054577
GUAO,228378.842862261,4631946.91450899,4367028.51355512,0.00059033,0.00062846,0.00053816
GUAT,-56063.5455393168,-6174978.65535346,1596665.28204104,0.00060593,0.00094566,0.00056504
GUUG,-5070465.20328336,3576460.24708633,1472093.79692195,0.000796,0.00064074,0.00055916
HARB,5084657.61886227,2670325.20688468,-2768481.0670488,0.00062218,0.0005678,0.00069995
HERS,4033470.03211697,23672.9698236046,4924301.35453643,0.0005769,0.00056724,0.00054645
HERT,4033460.85700333,23537.8803483124,4924318.30867668,0.00057549,0.00056704,0.00054464
HLFX,2018905.69135732,-4069070.51133308,4462415.44776264,0.00054256,0.00060895,0.00052917
HNLC,-5506798.80016823,-2240049.22408674,2302720.57734413,0.0007339,0.00054747,0.00051406
HOB2,-3950071.86875265,2522415.28741537,-4311637.82344416,0.00067286,0.00060142,0.00077254
HOFN,2679689.96559927,-727951.142454616,5722789.38214081,0.00055183,0.00054745,0.00058482
HOLB,-2503040.59971212,-3188233.32701875,4908701.46211126,0.00070418,0.00068898,0.00079434
HOLM,-983072.095179955,-1867623.66754484,5998639.54539258,0.00055587,0.00050499,0.00055423
HRAO,5085352.45173,2668395.93588177,-2768731.45717245,0.00062679,0.0005697,0.00070154
HYDE,1208444.36761934,5966806.00790502,1897077.04008265,0.00060232,0.0007122,0.00054077
IISC,1337936.24176004,6070317.11324419,1427876.95743797,0.00060255,0.00071461,0.00054664
INVK,-1628432.21303874,-1714393.06150183,5903844.66412932,0.00057221,0.00049703,0.00055096
IQAL,1036001.00994261,-2631455.56206648,5697819.6871125,0.0005328,0.00055108,0.000564
IRKM,-968332.530065045,3794425.40542903,5018167.71811375,0.0005982,0.0005815,0.00054781
IRKT,-968332.529307729,3794425.40466493,5018167.7168547,0.00059791,0.00058083,0.00054652
ISPA,-1881703.34330859,-5359979.81675223,-2890599.26288136,0.00061731,0.00066244,0.00068064
JOZE,3664940.07275967,1409153.94069798,5009571.43119616,0.00057577,0.00057328,0.00054679
KARR,-2713832.83025265,5303935.09845221,-2269514.29708903,0.00065386,0.00068196,0.0006732
KAT1,-4147413.45894615,4581462.7128333,-1573359.65554625,0.00070656,0.00066386,0.00064336
KELY,1575558.99675055,-1941827.95478989,5848076.52819666,0.00053407,0.0005431,0.00057517
KERG,1406337.24459438,3918161.10114751,-4816167.36666148,0.00056146,0.00059242,0.00080478
KIRI,-6327822.39141962,785604.498017321,149769.23538132,0.0015436,0.00065555,0.00062374
KIRU,2251420.70576473,862817.273436185,5885476.75158473,0.00055009,0.00054303,0.00057358
KIT3,1944945.00831833,4556652.27747459,4004326.02104656,0.00058658,0.00064258,0.00053554
KOKB,-5543838.24056415,-2054586.43980935,2387810.12192465,0.00073469,0.0005428,0.00051385
KOKV,-5543838.24102415,-2054586.44033723,2387810.12246591,0.00073555,0.00054309,0.00051416
KOSG,3899225.05354134,396732.020130645,5015078.47103563,0.00057422,0.00056647,0.00054652
KOUR,3839591.37145418,-5059567.57433815,579957.106593332,0.00059516,0.00065944,0.00055843
KRGG,1406336.23269347,3918154.60409677,-4816172.86194591,0.00056467,0.00060347,0.00081412
KWJ1,-6160880.72789989,1339883.82056075,960810.833274773,0.0011143,0.00062894,0.00059055
LAUT,-6075194.56393478,270923.877069355,-1917189.36358565,0.00079255,0.00058738,0.00065339
LHAS,-106938.263968507,5549269.48020257,3139215.9422942,0.00060711,0.00069382,0.00053787
LHAZ,-106941.682027369,5549269.84191851,3139215.07303641,0.00060665,0.00068393,0.00053463
LMMF,2993387.31333286,-5399363.93773987,1596748.01867944,0.00057429,0.00066877,0.00053154
LPAL,5326646.25552311,-1719826.16723939,3052043.76825036,0.00061513,0.00059104,0.00053382
LPGS,2780102.98749628,-4437418.9555827,-3629404.45129729,0.00057788,0.00060251,0.00073471
LROC,4424632.50536408,-94175.1363627456,4577544.14279948,0.00064978,0.0005803,0.00060168
